"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"342.15",3,0.53,5.3,19.6296296296296,19.1828256586124,5,12
"346.2",3,0.442222222222222,3.98,14.7407407407407,19.938832638816,4,6
"351.26",3,0.74,7.4,27.4074074074074,14.5517310156727,9,4
"364.21",3,0.885,8.85,32.7777777777778,24.8705756857304,4,3
"402.7",3,0.66,6.6,24.4444444444444,26.0505947363308,3,6
"405.2",3,0.88,8.8,32.5925925925926,15.9577806681401,5,7
"406.12",3,1.01,10.1,37.4074074074074,18.710937816694,4,4
"427.7",3,1.27222222222222,11.45,42.4074074074074,23.5763034523647,4,6
"450.3",3,0.798,7.98,29.5555555555556,16.4290696480769,7,4
"506.2",3,1.085,10.85,40.1851851851852,20.7326924539391,4,3
"Canchan",3,0.49,4.9,18.1481481481481,25.2163533997214,3,4
"Desiree",3,0.58,5.8,21.4814814814815,23.6516672052798,4,5
"Unica",3,1.05,10.5,38.8888888888889,20.6704910342687,5,4
